Time,Data,Condition,Current,Label
2025-11-12 16:20:32.696,13.0,None,baseline,None
2025-11-12 16:20:33.112,10.0,None,baseline,None
2025-11-12 16:20:33.731,12.0,None,baseline,None
2025-11-12 16:20:34.265,10.0,None,baseline,None
2025-11-12 16:20:34.748,13.0,None,baseline,None
2025-11-12 16:20:35.367,12.0,None,baseline,None
2025-11-12 16:20:35.716,16.0,None,baseline,None
2025-11-12 16:20:36.236,16.0,None,baseline,None
2025-11-12 16:20:36.801,19.0,None,baseline,None
2025-11-12 16:20:37.848,16.0,None,baseline,None
2025-11-12 16:20:38.331,17.0,None,baseline,None
2025-11-12 16:20:38.772,16.0,None,baseline,None
2025-11-12 16:20:39.324,18.0,None,baseline,None
2025-11-12 16:20:39.813,15.0,None,baseline,None
2025-11-12 16:20:40.964,53.0,None,baseline,None
2025-11-12 16:20:41.887,57.0,None,baseline,None
2025-11-12 16:20:42.402,83.0,None,baseline,None
2025-11-12 16:20:42.915,76.0,None,baseline,None
2025-11-12 16:20:43.421,55.0,None,baseline,None
2025-11-12 16:20:44.464,41.0,None,baseline,None
2025-11-12 16:20:44.956,29.0,None,baseline,None
2025-11-12 16:20:45.486,13.0,None,baseline,None
2025-11-12 16:20:45.998,7.0,None,baseline,None
2025-11-12 16:20:46.403,10.0,None,baseline,None
2025-11-12 16:20:47.438,7.0,None,baseline,None
2025-11-12 16:20:48.044,7.0,None,baseline,None
2025-11-12 16:20:48.394,8.0,None,baseline,None
2025-11-12 16:20:49.510,10.0,None,baseline,None
2025-11-12 16:20:50.098,6.0,None,baseline,None
2025-11-12 16:20:51.137,18.0,None,baseline,None
2025-11-12 16:20:51.543,12.0,None,baseline,None
2025-11-12 16:20:52.045,25.0,None,baseline,None
2025-11-12 16:20:52.571,15.0,None,baseline,None
2025-11-12 16:20:53.100,17.0,None,baseline,None
2025-11-12 16:20:53.508,16.0,None,baseline,None
2025-11-12 16:20:54.485,14.0,None,baseline,None
2025-11-12 16:20:55.132,16.0,None,baseline,None
2025-11-12 16:20:55.563,14.0,None,baseline,None
2025-11-12 16:20:56.135,17.0,None,baseline,None
2025-11-12 16:20:56.519,49.0,None,baseline,None
2025-11-12 16:20:57.216,95.0,None,baseline,None
2025-11-12 16:20:57.721,81.0,None,baseline,None
2025-11-12 16:20:58.228,57.0,None,baseline,None
2025-11-12 16:20:58.650,14.0,None,baseline,None
2025-11-12 16:20:59.186,9.0,None,baseline,None
2025-11-12 16:20:59.603,13.0,None,baseline,None
2025-11-12 16:21:00.116,16.0,None,baseline,None
2025-11-12 16:21:00.660,16.0,None,baseline,None
2025-11-12 16:21:01.304,9.0,None,baseline,None
2025-11-12 16:21:01.692,13.0,None,baseline,None
2025-11-12 16:21:02.303,12.0,None,baseline,None
2025-11-12 16:21:02.712,12.0,None,baseline,None
2025-11-12 16:21:03.322,12.0,None,baseline,None
2025-11-12 16:21:03.732,12.0,None,baseline,None
2025-11-12 16:21:04.319,13.0,None,baseline,None
2025-11-12 16:21:05.282,13.0,None,baseline,None
2025-11-12 16:21:05.801,10.0,None,baseline,None
2025-11-12 16:21:06.293,15.0,None,baseline,None
2025-11-12 16:21:06.802,17.0,None,baseline,None
2025-11-12 16:21:07.748,16.0,None,baseline,None
2025-11-12 16:21:08.346,15.0,None,baseline,None
2025-11-12 16:21:08.775,16.0,None,baseline,None
2025-11-12 16:21:09.403,15.0,None,baseline,None
2025-11-12 16:21:09.811,16.0,None,baseline,None
2025-11-12 16:21:11.880,54.0,None,music1,None
2025-11-12 16:21:12.556,53.0,None,music1,None
2025-11-12 16:21:12.999,79.0,None,music1,None
2025-11-12 16:21:13.499,29.0,None,music1,None
2025-11-12 16:21:13.980,28.0,None,music1,None
2025-11-12 16:21:14.468,54.0,None,music1,None
2025-11-12 16:21:14.939,32.0,None,music1,None
2025-11-12 16:21:15.545,54.0,None,music1,None
2025-11-12 16:21:15.982,35.0,None,music1,None
2025-11-12 16:21:16.488,30.0,None,music1,None
2025-11-12 16:21:16.959,32.0,None,music1,None
2025-11-12 16:21:17.530,7.0,None,music1,None
2025-11-12 16:21:18.575,42.0,None,music1,None
2025-11-12 16:21:18.996,26.0,None,music1,None
2025-11-12 16:21:19.604,31.0,None,music1,None
2025-11-12 16:21:20.028,29.0,None,music1,None
2025-11-12 16:21:20.644,28.0,None,music1,None
2025-11-12 16:21:21.660,30.0,None,music1,None
2025-11-12 16:21:22.579,30.0,None,music1,None
2025-11-12 16:21:22.998,29.0,None,music1,None
2025-11-12 16:21:24.034,29.0,None,music1,None
2025-11-12 16:21:25.041,33.0,None,music1,None
2025-11-12 16:21:25.615,13.0,None,music1,None
2025-11-12 16:21:26.601,0.0,None,music1,None
2025-11-12 16:21:27.134,2.0,None,music1,None
2025-11-12 16:21:27.701,25.0,None,music1,None
2025-11-12 16:21:28.079,20.0,None,music1,None
2025-11-12 16:21:28.744,31.0,None,music1,None
2025-11-12 16:21:30.126,0.0,None,music1,None
2025-11-12 16:21:30.643,0.0,None,music1,None
2025-11-12 16:21:31.160,2.0,None,music1,None
2025-11-12 16:21:31.695,12.0,None,music1,None
2025-11-12 16:21:32.715,10.0,None,music1,None
2025-11-12 16:21:33.734,29.0,None,music1,None
2025-11-12 16:21:34.171,7.0,None,music1,None
2025-11-12 16:21:34.874,10.0,None,music1,None
2025-11-12 16:21:35.175,9.0,None,music1,None
2025-11-12 16:21:36.831,5.0,None,music1,None
2025-11-12 16:21:37.254,3.0,None,music1,None
2025-11-12 16:21:37.839,3.0,None,music1,None
2025-11-12 16:21:38.902,5.0,None,music1,None
2025-11-12 16:21:39.884,4.0,None,music1,None
2025-11-12 16:21:40.322,4.0,None,music1,None
2025-11-12 16:21:40.841,3.0,None,music1,None
2025-11-12 16:21:41.843,3.0,None,music1,None
2025-11-12 16:21:42.335,3.0,None,music1,None
2025-11-12 16:21:42.977,4.0,None,music1,None
2025-11-12 16:21:43.517,0.0,None,music1,None
2025-11-12 16:21:44.015,4.0,None,music1,None
2025-11-12 16:21:44.520,6.0,None,music1,None
2025-11-12 16:21:45.141,4.0,None,music1,None
2025-11-12 16:21:46.116,5.0,None,music1,None
2025-11-12 16:21:46.716,4.0,None,music1,None
2025-11-12 16:21:47.585,5.0,None,music1,None
2025-11-12 16:21:48.202,4.0,None,music1,None
2025-11-12 16:21:49.229,5.0,None,music1,None
2025-11-12 16:21:49.728,5.0,None,music1,None
2025-11-12 16:21:51.073,3.0,None,music1,None
2025-11-12 16:21:51.444,9.0,None,music1,None
2025-11-12 16:21:52.007,6.0,None,music1,None
2025-11-12 16:21:52.252,37.0,None,music1,None
2025-11-12 16:21:53.063,22.0,None,music1,None
2025-11-12 16:21:53.793,23.0,None,music1,None
2025-11-12 16:21:54.327,23.0,None,music1,None
2025-11-12 16:21:54.752,21.0,None,music1,None
2025-11-12 16:21:55.293,20.0,None,music1,None
2025-11-12 16:21:56.143,23.0,None,music1,None
2025-11-12 16:21:56.200,20.0,None,music1,None
2025-11-12 16:21:57.538,19.0,None,music1,None
2025-11-12 16:21:57.670,18.0,None,music1,None
2025-11-12 16:21:57.952,19.0,None,music1,None
2025-11-12 16:21:58.878,16.0,None,music1,None
2025-11-12 16:22:00.824,19.0,None,music1,None
2025-11-12 16:22:01.173,16.0,None,music1,None
2025-11-12 16:22:01.670,14.0,None,music1,None
2025-11-12 16:22:02.270,14.0,None,music1,None
2025-11-12 16:22:02.655,15.0,None,music1,None
2025-11-12 16:22:03.171,26.0,None,music1,None
2025-11-12 16:22:05.226,20.0,None,music1,None
2025-11-12 16:22:05.631,20.0,None,music1,None
2025-11-12 16:22:06.257,20.0,None,questionnaire1,None
2025-11-12 16:22:06.659,20.0,None,questionnaire1,None
2025-11-12 16:22:08.724,18.0,None,questionnaire1,None
2025-11-12 16:22:09.359,19.0,None,questionnaire1,None
2025-11-12 16:22:09.758,20.0,None,questionnaire1,None
2025-11-12 16:22:10.791,20.0,None,questionnaire1,None
2025-11-12 16:22:11.403,18.0,None,interval1,None
2025-11-12 16:22:12.326,20.0,None,interval1,None
2025-11-12 16:22:12.843,19.0,None,interval1,None
2025-11-12 16:22:13.361,19.0,None,interval1,None
2025-11-12 16:22:13.761,17.0,None,interval1,None
2025-11-12 16:22:15.412,20.0,None,interval1,None
2025-11-12 16:22:15.784,20.0,None,interval1,None
2025-11-12 16:22:16.427,19.0,None,interval1,None
2025-11-12 16:22:16.857,20.0,None,interval1,None
2025-11-12 16:22:17.880,18.0,None,interval1,None
2025-11-12 16:22:18.861,17.0,None,interval1,None
2025-11-12 16:22:19.419,18.0,None,interval1,None
2025-11-12 16:22:20.496,19.0,None,interval1,None
2025-11-12 16:22:20.922,17.0,None,interval1,None
2025-11-12 16:22:21.570,27.0,None,interval1,None
2025-11-12 16:22:21.942,12.0,None,interval1,None
2025-11-12 16:22:22.512,24.0,None,interval1,None
2025-11-12 16:22:23.549,46.0,None,interval1,None
2025-11-12 16:22:23.994,85.0,None,interval1,None
2025-11-12 16:22:24.509,54.0,None,interval1,None
2025-11-12 16:22:25.029,71.0,None,interval1,None
2025-11-12 16:22:26.055,72.0,None,interval1,None
2025-11-12 16:22:26.536,71.0,None,interval1,None
2025-11-12 16:22:27.074,72.0,None,interval1,None
2025-11-12 16:22:27.596,71.0,None,interval1,None
2025-11-12 16:22:28.006,70.0,None,interval1,None
2025-11-12 16:22:28.668,68.0,None,interval1,None
2025-11-12 16:22:29.048,67.0,None,interval1,None
2025-11-12 16:22:29.657,67.0,None,interval1,None
2025-11-12 16:22:30.081,68.0,None,interval1,None
2025-11-12 16:22:30.675,68.0,None,interval1,None
2025-11-12 16:22:31.124,68.0,None,interval1,None
2025-11-12 16:22:32.128,70.0,None,interval1,None
