Time,Data,Condition,Current,Label
2025-11-12 16:20:32.696,9.0,None,baseline,None
2025-11-12 16:20:33.272,9.0,None,baseline,None
2025-11-12 16:20:33.731,8.0,None,baseline,None
2025-11-12 16:20:34.265,8.0,None,baseline,None
2025-11-12 16:20:34.748,8.0,None,baseline,None
2025-11-12 16:20:35.367,9.0,None,baseline,None
2025-11-12 16:20:35.797,9.0,None,baseline,None
2025-11-12 16:20:36.236,9.0,None,baseline,None
2025-11-12 16:20:36.801,7.0,None,baseline,None
2025-11-12 16:20:37.848,8.0,None,baseline,None
2025-11-12 16:20:38.331,9.0,None,baseline,None
2025-11-12 16:20:38.772,9.0,None,baseline,None
2025-11-12 16:20:39.324,9.0,None,baseline,None
2025-11-12 16:20:39.813,8.0,None,baseline,None
2025-11-12 16:20:40.964,18.0,None,baseline,None
2025-11-12 16:20:41.887,35.0,None,baseline,None
2025-11-12 16:20:42.402,22.0,None,baseline,None
2025-11-12 16:20:42.915,31.0,None,baseline,None
2025-11-12 16:20:43.421,19.0,None,baseline,None
2025-11-12 16:20:44.464,8.0,None,baseline,None
2025-11-12 16:20:44.956,9.0,None,baseline,None
2025-11-12 16:20:45.486,13.0,None,baseline,None
2025-11-12 16:20:45.998,9.0,None,baseline,None
2025-11-12 16:20:46.403,12.0,None,baseline,None
2025-11-12 16:20:47.438,9.0,None,baseline,None
2025-11-12 16:20:48.044,10.0,None,baseline,None
2025-11-12 16:20:48.394,8.0,None,baseline,None
2025-11-12 16:20:49.510,9.0,None,baseline,None
2025-11-12 16:20:50.098,8.0,None,baseline,None
2025-11-12 16:20:51.137,11.0,None,baseline,None
2025-11-12 16:20:51.543,3.0,None,baseline,None
2025-11-12 16:20:52.045,10.0,None,baseline,None
2025-11-12 16:20:52.571,4.0,None,baseline,None
2025-11-12 16:20:53.100,6.0,None,baseline,None
2025-11-12 16:20:53.508,7.0,None,baseline,None
2025-11-12 16:20:54.574,7.0,None,baseline,None
2025-11-12 16:20:55.132,6.0,None,baseline,None
2025-11-12 16:20:55.563,6.0,None,baseline,None
2025-11-12 16:20:56.135,3.0,None,baseline,None
2025-11-12 16:20:56.519,12.0,None,baseline,None
2025-11-12 16:20:57.216,21.0,None,baseline,None
2025-11-12 16:20:57.721,46.0,None,baseline,None
2025-11-12 16:20:58.228,23.0,None,baseline,None
2025-11-12 16:20:58.730,19.0,None,baseline,None
2025-11-12 16:20:59.186,20.0,None,baseline,None
2025-11-12 16:20:59.603,20.0,None,baseline,None
2025-11-12 16:21:00.116,16.0,None,baseline,None
2025-11-12 16:21:00.660,13.0,None,baseline,None
2025-11-12 16:21:01.304,14.0,None,baseline,None
2025-11-12 16:21:01.692,15.0,None,baseline,None
2025-11-12 16:21:02.303,13.0,None,baseline,None
2025-11-12 16:21:02.712,12.0,None,baseline,None
2025-11-12 16:21:03.322,13.0,None,baseline,None
2025-11-12 16:21:03.732,12.0,None,baseline,None
2025-11-12 16:21:04.319,13.0,None,baseline,None
2025-11-12 16:21:05.282,12.0,None,baseline,None
2025-11-12 16:21:05.801,12.0,None,baseline,None
2025-11-12 16:21:06.293,11.0,None,baseline,None
2025-11-12 16:21:06.802,10.0,None,baseline,None
2025-11-12 16:21:07.748,10.0,None,baseline,None
2025-11-12 16:21:08.346,10.0,None,baseline,None
2025-11-12 16:21:08.775,12.0,None,baseline,None
2025-11-12 16:21:09.403,11.0,None,baseline,None
2025-11-12 16:21:09.811,7.0,None,baseline,None
2025-11-12 16:21:10.916,7.0,None,music1,None
2025-11-12 16:21:11.880,20.0,None,music1,None
2025-11-12 16:21:12.556,4.0,None,music1,None
