Time,Data,Condition,Current,Label
2025-11-12 16:20:31.927,33.1,None,baseline,None
2025-11-12 16:20:32.073,33.1,None,baseline,None
2025-11-12 16:20:32.176,33.1,None,baseline,None
2025-11-12 16:20:32.350,33.1,None,baseline,None
2025-11-12 16:20:32.442,33.1,None,baseline,None
2025-11-12 16:20:32.603,33.1,None,baseline,None
2025-11-12 16:20:32.696,33.1,None,baseline,None
2025-11-12 16:20:32.852,33.1,None,baseline,None
2025-11-12 16:20:33.061,33.1,None,baseline,None
2025-11-12 16:20:33.112,33.1,None,baseline,None
2025-11-12 16:20:33.272,33.1,None,baseline,None
2025-11-12 16:20:33.458,33.1,None,baseline,None
2025-11-12 16:20:33.562,33.1,None,baseline,None
2025-11-12 16:20:33.731,33.1,None,baseline,None
2025-11-12 16:20:33.807,33.1,None,baseline,None
2025-11-12 16:20:33.990,33.1,None,baseline,None
2025-11-12 16:20:34.078,33.1,None,baseline,None
2025-11-12 16:20:34.265,33.1,None,baseline,None
2025-11-12 16:20:34.322,33.1,None,baseline,None
2025-11-12 16:20:34.484,33.1,None,baseline,None
2025-11-12 16:20:34.661,33.1,None,baseline,None
2025-11-12 16:20:34.748,33.1,None,baseline,None
2025-11-12 16:20:34.913,33.1,None,baseline,None
2025-11-12 16:20:35.011,33.1,None,baseline,None
2025-11-12 16:20:35.201,33.1,None,baseline,None
2025-11-12 16:20:35.367,33.1,None,baseline,None
2025-11-12 16:20:35.426,33.1,None,baseline,None
2025-11-12 16:20:35.628,33.1,None,baseline,None
2025-11-12 16:20:35.716,33.1,None,baseline,None
2025-11-12 16:20:35.797,33.1,None,baseline,None
2025-11-12 16:20:35.945,33.1,None,baseline,None
2025-11-12 16:20:36.043,33.1,None,baseline,None
2025-11-12 16:20:36.236,33.1,None,baseline,None
2025-11-12 16:20:36.395,33.1,None,baseline,None
2025-11-12 16:20:36.454,33.1,None,baseline,None
2025-11-12 16:20:36.661,33.1,None,baseline,None
2025-11-12 16:20:36.801,33.1,None,baseline,None
2025-11-12 16:20:36.801,33.1,None,baseline,None
2025-11-12 16:20:36.987,33.1,None,baseline,None
2025-11-12 16:20:37.178,33.1,None,baseline,None
2025-11-12 16:20:37.370,33.1,None,baseline,None
2025-11-12 16:20:37.425,33.1,None,baseline,None
2025-11-12 16:20:37.579,33.1,None,baseline,None
2025-11-12 16:20:37.674,33.1,None,baseline,None
2025-11-12 16:20:37.848,33.1,None,baseline,None
2025-11-12 16:20:37.934,33.1,None,baseline,None
2025-11-12 16:20:38.096,33.1,None,baseline,None
2025-11-12 16:20:38.191,33.1,None,baseline,None
2025-11-12 16:20:38.331,33.1,None,baseline,None
